BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCUNDC;ACCMU;ACCMUDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2017;220000368;220000103;TYPE1;;13;;;;2;862;81;0;0;0;0;0;0;3058;0;0;0;604;2611;100;576;0;597;4;7;0;9;;614;4416;4025;1263;21;1;1;211;197;165;8;;16;0;0
PERINAT;2017;220000483;560014748;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1793;131;;;0;;;;;;;0;
PERINAT;2017;220000541;220000152;CPPR;;;;;;;9;7;0;0;0;0;0;0;2;0;0;0;3;3;0;0;0;3;0;0;0;1;;3;473;1759;116;0;0;1;29;29;29;0;;0;0;0
PERINAT;2017;220022800;220000673;TYPE2;;24;6;0;0;4;1214;81;123;3;0;0;0;0;4696;946;0;0;992;4377;204;1063;1;976;2;16;0;14;;1009;;;;11;0;1;78;91;55;1;;1;0;0
PERINAT;2017;230000820;230780041;TYPE2;;19;4;;;2;835;87;247;12;0;0;0;0;3363;1106;0;0;565;2943;86;607;1;563;1;2;0;6;0;573;3426;2519;2371;8;0;1;156;159;91;3;;0;0;0
PERINAT;2017;240000190;240000596;TYPE1;;;;;;;13;9;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;14;31;14;0;;1;1;151
PERINAT;2017;240000372;240000059;TYPE1;;15;;;;3;1122;136;0;0;0;0;0;0;3631;0;0;0;797;3301;163;861;1;786;1;11;0;6;;810;4383;3536;;14;0;1;336;330;232;4;;0;0;0
PERINAT;2017;240000489;240000117;TYPE2;;34;9;3;;6;2148;255;271;26;107;10;0;0;8999;1412;729;0;1603;8081;288;2099;9;1570;8;33;1;1;;1636;13166;3196;1096;31;7;1;525;537;298;46;0;1;1;160
PERINAT;2017;240000687;240000448;TYPE1;;15;;;;3;344;67;0;0;0;0;0;0;1099;0;0;0;233;1011;47;283;0;232;1;1;0;2;;236;1927;2680;;5;0;1;131;133;108;1;;0;0;0
PERINAT;2017;250000700;250000452;TYPE2;;22;6;;;4;1442;107;280;8;0;0;0;0;5517;2219;0;0;1166;5105;220;1314;2;1153;6;13;1;3;;1179;;;;29;0;1;234;233;201;1;;37;0;0
