BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCUNDC;ACCMU;ACCMUDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2017;340780675;340000298;TYPE2;;58;6;0;0;11;2468;253;302;15;0;0;0;0;9579;1353;0;0;1965;8983;459;2718;9;1929;9;36;1;15;;2023;;;;51;0;1;599;599;365;17;;0;0;0
PERINAT;2017;340780717;340023225;TYPE1;;10;;;;2;380;53;0;0;0;0;0;0;1198;0;0;0;252;1067;59;317;0;250;0;2;0;0;;255;;;;15;0;1;114;109;93;1;;2;0;0
PERINAT;2017;340780741;340000348;TYPE1;;25;0;0;0;2;668;65;0;0;0;0;0;0;2194;0;0;0;456;1863;99;582;0;451;4;5;0;2;0;464;;;;38;0;1;225;204;171;17;2;1;0;0
PERINAT;2017;340796663;340780477;TYPE3;EXT;72;20;18;14;10;5012;727;607;6;585;38;415;15;22861;6982;5561;5142;3576;19842;828;6728;29;3459;89;117;9;6;;3724;;;;90;2;1;1109;1253;732;82;;147;1;694
PERINAT;2017;350000121;350000303;TYPE2;;48;9;;;5;2584;152;496;82;0;0;0;0;10875;2082;0;0;2083;9818;367;2131;5;2070;14;13;0;13;;2096;;;;37;0;1;32;43;0;4;;6;0;0
PERINAT;2017;350000139;350001137;TYPE2;;57;9;;;8;4229;374;520;15;0;0;0;0;17332;3388;0;0;3435;15949;525;3516;2;3374;45;61;3;24;;3508;11792;23951;775;241;0;1;1;3;0;1;;64;1;979
PERINAT;2017;350000147;350000022;TYPE2;;21;6;;;4;1703;177;175;10;0;0;0;0;6767;1214;0;0;1251;5984;262;1672;1;1235;4;16;0;5;0;1271;7933;5570;345;25;2;1;333;354;277;15;;1;0;0
PERINAT;2017;350000154;350000030;TYPE2;;14;4;;;4;1063;107;208;8;0;0;0;0;4022;1068;0;0;795;3567;147;806;0;785;3;10;0;4;0;810;7726;5337;218;11;0;1;47;48;40;0;0;3;0;0
PERINAT;2017;350000162;350000048;TYPE1;;12;;;;3;641;86;0;0;0;0;0;0;2464;0;0;0;476;2277;43;270;0;469;3;7;0;5;;491;3470;4603;72;16;0;1;108;119;84;2;;6;0;0
PERINAT;2017;350000188;350000055;TYPE2;;18;4;;;2;989;88;186;8;0;0;0;0;4153;1042;0;0;745;3806;173;1080;0;736;1;9;0;1;0;756;10973;2984;171;3;0;1;62;74;41;1;;0;0;0
PERINAT;2017;350007084;350005179;TYPE3;EXT;73;18;21;12;15;5037;340;505;14;408;19;210;8;23484;5913;7120;4078;3600;19725;669;5576;4;3521;45;79;7;7;;3707;12383;13331;261;235;5;1;1761;1821;755;87;41;31;1;490
PERINAT;2017;360000038;360000046;CPPR;;;;;;;9;5;0;0;0;0;0;0;4;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;958;1584;34;0;0;1;23;38;23;0;0;0;0;0
PERINAT;2017;360000137;360000053;TYPE2;;38;6;0;0;5;1674;77;275;24;0;0;0;0;7498;1614;0;0;1240;6341;250;1850;0;1224;3;16;0;13;;1260;7496;6575;494;7;0;1;337;351;256;29;0;7;0;0
PERINAT;2017;360000160;360000053;TYPE1;;13;;;;1;317;30;0;0;0;0;0;0;1167;0;0;0;256;1122;37;211;0;256;1;0;0;3;;256;;;;8;0;1;44;52;37;1;;2;0;0
PERINAT;2017;370000499;370000481;TYPE3;EXT;;12;12;9;;0;0;253;2;205;1;261;3;0;4236;3894;3361;0;0;0;0;0;0;0;0;0;0;;23;;;;0;0;0;0;0;0;0;;0;0;0
PERINAT;2017;370000531;370000606;TYPE1;;12;0;0;0;3;711;78;0;0;0;0;0;0;2615;0;0;0;555;2443;75;420;0;555;3;0;0;6;6;559;4728;3180;127;16;0;1;61;52;42;2;0;0;0;0
PERINAT;2017;370000861;370000481;TYPE3;;68;8;;1;7;4664;443;431;21;0;0;206;25;21573;2002;0;439;3527;18583;688;5736;27;3443;64;84;3;199;;3623;6705;23561;339;117;0;1;996;982;297;82;9;40;1;626
PERINAT;2017;370000879;370000564;CPPR;;0;;;;;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2141;2854;854;0;0;1;48;52;23;2;;0;0;0
PERINAT;2017;370000903;370000614;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1364;478;260;0;0;1;20;19;15;0;;1;0;0
PERINAT;2017;370007569;370007528;TYPE2;;55;6;;;6;3125;277;166;1;0;0;0;0;12958;1357;0;0;2372;10918;473;2811;3;2347;16;25;1;31;;2397;;;;20;0;0;0;0;0;0;;26;1;258
PERINAT;2017;380000026;380780031;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;666;1294;15;;;0;;;;;;;0;
PERINAT;2017;380000034;380780049;TYPE2;;31;6;;;1;1667;113;110;1;0;0;0;0;6421;1842;0;0;1296;5655;240;1301;0;1286;5;10;0;18;;1318;5504;6932;;49;0;1;241;290;53;29;;1;0;0
PERINAT;2017;380000042;380780056;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;95;0;;;0;;;;;;;0;
PERINAT;2017;380000067;380780080;TYPE3;;61;14;12;12;6;4079;300;383;35;456;19;346;8;18329;3198;4994;4197;2852;14640;667;4933;15;2757;50;95;5;0;0;2978;5239;14628;25;143;56;1;1336;1338;423;76;15;66;1;435
PERINAT;2017;380000091;380780171;CPPR;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;551;3018;90;;;0;;;;;;;0;
PERINAT;2017;380000174;380781435;TYPE2;;30;9;;;4;2189;119;175;19;0;0;0;0;8286;1293;0;0;1628;7071;292;1727;3;1605;8;23;1;19;;1663;9996;13771;389;22;0;1;343;340;165;34;1;2;0;0
PERINAT;2017;380000406;380784751;TYPE2;;23;6;0;0;4;1672;243;106;9;0;0;0;0;6204;1177;0;0;1221;5600;240;1585;1;1204;4;17;1;7;;1240;;;;51;0;1;274;311;153;13;4;21;0;0
PERINAT;2017;380012658;380012609;TYPE1;;30;0;0;0;6;2102;186;0;0;0;0;0;0;8010;0;0;0;1689;7353;259;1446;1;1683;9;6;0;16;;1706;;;;84;0;1;125;124;100;1;15;38;0;0
PERINAT;2017;380020123;690041611;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;0;0;0;;0;0;0
PERINAT;2017;380780197;380798173;TYPE2;;33;6;;;4;1580;87;0;0;0;0;0;0;6933;0;0;0;1275;6141;289;1805;2;1258;2;17;1;20;;1295;;;;2;0;0;0;0;0;0;;0;0;0
PERINAT;2017;380780288;380019224;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;19;25;0;1;0;0;0;0
PERINAT;2017;380785956;380795211;TYPE1;;31;;;;8;1459;106;0;0;0;0;0;0;5535;0;0;0;1168;5072;246;1361;1;1162;4;6;0;6;;1184;;;;22;0;1;45;46;0;4;;8;0;0
PERINAT;2017;380786442;380798025;TYPE2;;40;6;;;5;2269;171;149;10;0;0;0;0;10448;1311;0;0;1840;9332;334;2304;4;1808;13;32;0;8;0;1872;;;;35;0;1;16;31;0;0;;25;1;558
PERINAT;2017;390000040;390780146;TYPE2;;24;6;6;0;5;1333;92;147;2;50;5;0;0;5054;1402;205;0;1017;4310;139;843;6;997;8;20;0;2;0;1052;8721;6734;560;88;0;1;316;304;212;10;3;5;0;0
PERINAT;2017;390000065;390780161;TYPE1;;13;;;;3;440;41;0;0;0;0;0;0;1544;0;0;0;311;1379;40;244;0;311;0;0;0;1;;311;4010;2269;28;2;0;0;;0;;;;0;0;0
PERINAT;2017;390000222;390780609;TYPE2;;20;6;0;0;3;1165;157;171;16;0;0;0;0;4328;1010;0;0;862;3948;160;940;0;848;3;14;0;4;0;880;6445;3178;196;13;0;1;219;219;147;15;0;0;0;0
PERINAT;2017;400000105;400780193;TYPE2;INT;21;4;0;0;3;1277;81;140;24;0;0;0;0;5509;918;0;0;1008;4972;197;1256;3;987;6;21;0;2;0;1037;10889;5962;183;11;0;1;305;275;118;8;;2;0;0
PERINAT;2017;400000139;400011177;TYPE2;EXT;30;6;3;;4;1636;269;298;8;67;6;0;0;5892;1676;837;0;1175;5411;152;1070;1;1164;2;11;1;3;0;1191;10259;7945;400;28;0;1;337;356;220;29;1;10;0;0
PERINAT;2017;400782769;400014213;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;0;0;0;;0;0;0
PERINAT;2017;410000020;410000087;TYPE2;;35;12;3;;4;1858;99;192;5;84;10;0;0;7876;2324;432;0;1379;6715;238;1528;20;1348;7;31;1;8;;1421;;;;8;0;1;548;599;363;20;;9;0;0
PERINAT;2017;410000046;410000103;TYPE1;;13;0;0;0;2;559;42;0;0;0;0;0;0;2195;0;0;0;438;1995;79;454;0;434;2;4;0;6;;463;6165;2499;117;11;0;1;57;59;51;1;1;0;0;0
PERINAT;2017;410000202;410000319;TYPE1;;20;;;;5;864;63;0;0;0;0;0;0;3102;0;0;0;678;2831;126;581;0;678;2;0;0;5;;678;;;;0;0;0;0;0;0;0;;0;0;0
PERINAT;2017;410004998;410000871;TYPE1;;22;;;;3;635;52;0;0;0;0;0;0;2169;0;0;0;513;2060;81;437;0;510;3;3;0;9;;521;;;;19;0;1;35;83;35;0;;0;0;0
PERINAT;2017;420000010;420780033;TYPE2;;37;9;3;;5;2084;115;86;3;123;9;0;0;8637;625;1791;0;1640;7648;333;1914;2;1615;7;25;0;17;;1668;6785;9086;;11;0;1;293;293;210;10;;0;1;0
PERINAT;2017;420000226;420013831;TYPE1;;15;;;;4;1184;155;0;0;0;0;0;0;3716;0;0;0;866;3336;169;838;0;860;1;6;0;7;;873;3716;2608;113;22;0;1;157;137;97;2;;4;0;0
PERINAT;2017;420000234;420780652;TYPE1;;25;;;;4;1521;181;0;0;0;0;0;0;5109;0;0;0;1111;4484;171;946;0;1107;3;4;0;30;;1121;5904;4652;250;38;0;1;215;214;147;8;1;0;0;0
PERINAT;2017;420000267;420013831;CPPR;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1214;987;;0;0;0;0;4;0;0;;0;0;0
PERINAT;2017;420011413;420011405;TYPE2;;44;16;;;5;2107;169;367;21;0;0;0;0;8227;2552;0;0;1554;6954;350;1989;11;1528;8;26;0;18;;1580;;;;24;0;1;63;58;2;7;;4;0;0
PERINAT;2017;420780637;420002495;TYPE1;;24;;;;3;975;71;0;0;0;0;0;0;3576;0;0;0;739;3127;114;635;0;730;2;9;0;14;;751;6363;6524;;12;0;1;120;145;72;4;;8;0;0
PERINAT;2017;420782310;420000853;;;0;;;;;27;22;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;29;15;3;3;;0;0;0
PERINAT;2017;420785354;420784878;TYPE3;;63;22;9;10;11;4370;385;835;8;109;3;289;9;17518;6631;725;5353;3169;14645;629;4401;40;3071;53;98;5;14;0;3280;5057;17324;409;78;0;1;723;709;392;65;1;60;1;497
PERINAT;2017;430000117;430000018;TYPE2;;21;6;;;3;1601;134;154;6;0;0;0;0;5902;1219;0;0;1076;4864;250;1365;1;1062;6;14;1;5;0;1095;5000;4890;80;12;0;1;252;226;170;9;0;7;0;0
PERINAT;2017;430000190;430000034;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;299;1774;;0;0;0;0;0;0;0;;0;0;0
PERINAT;2017;440000016;440000057;TYPE2;;41;8;4;0;7;3506;629;294;26;202;22;0;0;11841;2940;652;0;2466;10793;448;2635;1;2436;12;30;2;7;0;2496;20138;9159;117;138;0;1;621;637;382;37;;6;0;0
PERINAT;2017;440000271;440000289;TYPE3;EXT;72;18;21;18;11;5403;394;518;25;650;30;406;19;25000;4533;7993;6566;3911;20643;778;6342;32;3781;88;130;5;7;;4143;12847;7970;;296;0;1;1730;1598;678;113;;106;1;1148
PERINAT;2017;440000396;440053643;TYPE1;;15;;;;2;723;49;0;0;0;0;0;0;2806;0;0;0;593;2629;78;438;0;593;2;0;0;18;;595;;6176;194;11;0;1;104;92;69;3;;3;0;0
PERINAT;2017;440000412;440000941;TYPE1;;33;;;;5;1846;135;0;0;0;0;0;0;7669;0;0;0;1555;7210;298;1766;3;1536;5;19;0;12;;1585;;;;24;0;1;131;130;89;3;5;25;1;151
PERINAT;2017;440000503;440000313;TYPE2;;15;4;;;4;896;83;109;5;0;0;0;0;3316;615;0;0;568;2675;91;543;1;560;2;8;0;1;;579;9290;7281;;10;0;1;98;124;58;3;;1;0;0
PERINAT;2017;440029338;440053411;TYPE2;;50;6;;;9;3793;330;371;46;0;0;0;0;14511;1593;0;0;3250;13986;483;2826;4;3209;11;41;1;24;;3305;;;;235;0;1;788;748;179;38;;42;1;295
PERINAT;2017;440033819;440006344;TYPE2;;93;6;;;12;5626;455;520;45;0;0;0;0;23169;3184;0;0;4456;20858;787;4727;5;4404;24;52;3;43;;4541;;;;58;0;0;0;0;0;0;;31;1;704
PERINAT;2017;450000047;450000096;TYPE1;;20;;;;2;1099;118;0;0;0;0;0;0;4196;0;0;0;753;3547;170;1062;0;744;1;9;0;6;0;764;4224;3971;42;3;0;1;158;187;104;0;0;0;0;0
PERINAT;2017;450000062;450000104;TYPE2;;25;7;3;0;3;1885;115;172;8;42;2;0;0;6518;1338;358;0;1248;5387;307;1842;1;1224;7;24;1;4;0;1274;953;6369;1425;66;2;1;306;265;306;17;0;2;0;0
PERINAT;2017;450000070;450000112;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;7199;6993;79;0;0;1;64;66;64;0;;0;0;0
PERINAT;2017;450002613;450000088;TYPE3;EXT;108;19;12;14;8;6129;292;824;29;462;20;227;8;29225;6923;3776;3229;4792;25596;704;5803;36;4686;50;106;8;2;;4954;26998;19176;11950;105;439;1;1114;1220;819;79;5;26;1;362
PERINAT;2017;450010079;450000195;TYPE2;;30;6;;;4;775;107;105;2;0;0;0;0;2880;503;0;0;531;2621;159;913;0;528;2;3;0;0;;534;;;;1;0;0;0;0;0;0;0;0;1;0
PERINAT;2017;460000045;460780083;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1996;1882;81;0;0;1;46;36;35;0;;0;0;0
PERINAT;2017;460000052;460780091;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1389;25;0;0;0;;0;;;;0;0;0
PERINAT;2017;460000102;460780208;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;242;456;42;0;0;1;6;4;6;;;0;0;0
PERINAT;2017;460000110;460780216;TYPE2;;18;4;;;3;981;92;123;20;0;0;0;0;3657;617;0;0;702;3180;126;747;1;689;6;13;0;2;;717;8250;2669;27;6;0;1;238;257;123;14;;3;0;0
PERINAT;2017;470000027;470014069;TYPE1;;26;;;;4;1104;126;0;0;0;0;0;0;4148;0;0;0;760;3603;138;902;0;750;3;10;1;16;;770;;;;11;0;1;137;159;79;0;4;7;0;0
PERINAT;2017;470000423;470016171;TYPE2;;20;9;3;;3;1374;160;257;3;168;10;0;0;5157;2935;980;0;985;4457;222;1424;23;965;1;20;0;1;;1021;6522;5487;;18;0;1;326;384;223;17;0;10;0;0
PERINAT;2017;470000431;470000324;TYPE1;;25;;;;3;963;102;0;0;0;0;0;0;3391;0;0;0;677;2969;156;889;0;668;6;9;0;13;0;687;14791;5865;330;15;1;1;256;223;213;9;0;3;0;0
PERINAT;2017;470000480;470001660;TYPE1;;16;;;;4;963;92;0;0;0;0;0;0;3697;0;0;0;672;3211;134;868;0;666;2;6;1;7;;680;8739;6774;112;12;0;1;115;114;75;3;2;0;0;0
PERINAT;2017;480000017;480780097;TYPE2;;11;4;;;2;631;59;88;19;0;0;0;0;2478;386;0;0;443;2089;97;617;0;440;0;3;0;3;;452;2078;1757;2520;10;0;1;149;147;126;4;;0;0;0
PERINAT;2017;490000049;490000031;TYPE3;;86;17;8;15;11;4973;252;747;62;214;23;340;12;22765;6456;1028;4484;3840;19708;757;5700;53;3762;48;78;5;2;;3918;3259;53510;147;140;0;1;1124;1175;613;88;;41;1;452
PERINAT;2017;490000635;490000676;TYPE2;;30;10;3;;5;2336;85;218;3;109;22;0;0;9277;2178;703;0;1946;8359;280;1693;0;1917;13;29;0;14;0;1997;19022;9547;393;39;0;1;338;375;217;14;;3;0;0
PERINAT;2017;490001765;490528452;TYPE2;;18;6;;;4;1318;84;209;25;0;0;0;0;4601;1334;0;0;1059;4220;201;952;0;1053;2;6;0;11;;1069;9553;5612;184;40;0;1;227;264;177;8;;1;0;0
PERINAT;2017;490002037;490000890;TYPE1;;50;;;;;859;49;0;0;0;0;0;0;3303;0;0;0;710;2967;142;741;0;704;0;6;0;7;;717;;;;2;0;1;1;0;0;0;;1;0;0
PERINAT;2017;490014909;490008109;TYPE2;;50;7;;;5;2420;188;246;20;0;0;0;0;11005;1561;0;0;1974;9658;355;2147;1;1960;8;14;0;7;;1988;;;;21;1;0;0;0;0;0;;13;0;0
PERINAT;2017;500000021;500000054;TYPE2;INT;24;4;6;;4;1352;78;231;12;128;24;0;0;5814;1682;474;0;1064;5268;193;1252;2;1045;8;19;2;6;;1080;;;;13;0;1;173;169;164;4;;2;0;0
PERINAT;2017;500000187;500000013;TYPE3;EXT;35;6;6;6;5;2366;126;335;27;267;50;175;26;10513;1644;1354;1526;1795;8861;322;2464;4;1757;7;38;2;0;;1833;9000;7785;375;17;0;1;297;307;225;21;0;2;0;0
PERINAT;2017;500000260;500000054;CPPR;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;26;41;0;7;;0;0;0
PERINAT;2017;500000401;500000609;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;107;115;73;2;;0;0;0
PERINAT;2017;500000450;500000112;TYPE2;;22;9;;;4;2031;126;274;50;0;0;0;0;7925;1377;0;0;1590;7144;261;1597;0;1573;11;17;1;14;;1609;12090;7615;;13;0;1;234;202;158;17;;21;0;0
PERINAT;2017;500000468;500000013;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;612;3253;84;0;0;0;0;;0;0;0;0;0;0
PERINAT;2017;500002357;500002233;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;0;0;0;;0;1;126
PERINAT;2017;510000169;510000037;TYPE2;;12;6;0;0;3;1353;282;211;15;0;0;0;0;4513;1148;0;0;884;4048;192;1160;0;877;6;7;0;9;;902;6511;3444;217;11;0;1;221;249;128;22;;7;0;0
PERINAT;2017;510000185;510000532;TYPE2;;45;11;;;5;2143;252;520;17;0;0;0;0;8753;2105;0;0;1637;7732;298;1740;6;1600;8;37;0;6;;1674;;;;8;0;1;125;147;82;5;;18;1;820
PERINAT;2017;510000193;510000532;TYPE2;;37;4;;;6;2146;187;487;25;0;0;0;0;8555;680;0;0;1711;7563;378;2127;0;1700;10;11;0;9;;1722;;;;15;0;1;184;155;127;1;;22;0;0
PERINAT;2017;510000235;510000060;TYPE1;;22;;;;3;877;45;0;0;0;0;0;0;3380;0;0;0;500;2538;112;704;0;496;1;4;0;6;0;507;;;;8;0;1;200;175;153;4;;1;0;0
PERINAT;2017;510000243;510000573;;;2;;;;;9;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;1;36;0;0;;0;0;0
PERINAT;2017;510000250;510000078;CPPR;;0;;;;;7;6;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;1325;2433;122;0;0;1;15;12;15;0;1;0;0;0
PERINAT;2017;510004302;510000029;TYPE3;INT;36;6;14;18;5;2484;124;218;33;469;12;440;14;11958;734;6296;5090;1783;9665;384;2889;94;1713;54;70;8;1;;1861;15885;5289;;47;0;1;731;712;396;73;2;39;1;132
PERINAT;2017;520000027;520780032;TYPE2;;17;4;;;4;983;94;137;1;0;0;0;0;3571;1113;0;0;645;3046;115;706;0;642;2;3;0;0;;651;;;;9;0;1;199;170;176;2;;3;0;0
PERINAT;2017;520000043;520780057;CPPR;;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;64;0;0;;0;0;0
PERINAT;2017;520000068;520780073;TYPE2;;24;6;6;0;3;1222;84;222;15;69;5;0;0;4871;1302;508;0;889;4231;178;1066;0;874;6;15;0;3;;907;6895;7292;;19;0;1;149;167;146;1;;1;0;0
PERINAT;2017;530000017;530000025;TYPE1;;23;;;;4;1028;100;0;0;0;0;0;0;3955;0;0;0;770;3614;132;830;1;762;2;8;0;21;;786;;;85;14;0;1;78;66;50;5;;0;0;0
PERINAT;2017;530000173;530000074;TYPE1;;15;0;0;0;2;983;145;0;0;0;0;0;0;3308;0;0;0;721;3047;153;799;0;719;1;2;0;11;0;725;4051;4175;206;8;0;1;123;128;86;7;;19;0;0
PERINAT;2017;530000264;530000371;TYPE2;;20;12;;;5;1453;105;313;20;0;0;0;0;5739;2419;0;0;1191;5312;183;1113;1;1168;2;23;1;5;;1223;6699;3443;163;19;0;1;315;343;218;21;;2;0;0
PERINAT;2017;540000015;540023264;TYPE3;EXT;71;20;20;20;7;5451;1373;1211;30;593;29;521;27;17627;6487;6697;6939;2891;13575;551;3708;131;2789;53;102;7;7;0;3028;22666;11286;1670;86;25;1;942;905;568;115;;66;1;271
PERINAT;2017;540000023;540000049;TYPE1;;15;;;;2;812;108;0;0;0;0;0;0;2531;0;0;0;559;2247;56;275;0;555;0;4;0;10;15;567;6692;2084;163;9;0;1;138;139;116;0;0;0;0;0
PERINAT;2017;540000155;540000080;TYPE1;;13;;;;2;761;99;0;0;0;0;0;0;2328;0;0;0;541;2035;70;346;0;538;1;3;0;11;0;547;681;2662;128;39;0;1;155;152;130;7;0;0;0;0
PERINAT;2017;540000296;540000106;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;114;356;19;0;0;0;0;;0;0;;0;0;0
PERINAT;2017;540001070;540000767;TYPE1;;16;;;;;1023;115;0;0;0;0;0;0;3467;0;0;0;754;3168;89;508;0;752;5;2;0;7;0;756;6479;417;288;6;2;1;226;241;176;16;;0;0;0
PERINAT;2017;540001096;570010181;TYPE1;;21;;;;2;966;103;0;0;0;0;0;0;3283;0;0;0;625;2730;131;722;0;621;5;4;0;10;;629;;;;8;0;1;171;209;132;5;;0;1;0
PERINAT;2017;540013224;540000536;TYPE2;;47;6;6;;9;3304;226;343;15;322;25;0;0;12873;2182;1419;0;2453;11184;521;3315;1;2401;18;52;2;15;;2512;;;;65;0;1;306;277;232;1;;16;1;360
PERINAT;2017;550000012;550006795;TYPE2;;18;4;;;3;1200;85;150;21;0;0;0;0;4846;843;0;0;798;3817;123;804;0;793;3;5;1;9;;804;32787;7632;620;18;8;1;172;180;140;1;;4;0;0
PERINAT;2017;550000038;550000046;CPPR;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;168;375;78;;;0;;;;;;;0;
PERINAT;2017;550000178;550000293;;;0;;;;;15;14;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;9;25;0;1;;0;0;0
PERINAT;2017;550000434;550003354;TYPE2;;16;6;;;4;916;103;161;15;0;0;0;0;2934;917;0;0;566;2321;93;474;0;555;4;11;0;4;0;578;6898;3369;144;3;0;1;155;132;107;4;0;3;0;0
PERINAT;2017;560000127;560023210;TYPE3;;43;8;10;6;5;2502;128;277;4;192;21;204;12;11218;2625;1172;2701;1986;9826;476;3464;13;1932;10;54;6;2;;2054;2910;5252;225;39;0;1;489;509;164;42;11;4;0;0
PERINAT;2017;560000135;560005746;TYPE2;;45;12;6;;7;3669;509;395;17;142;11;0;0;13553;3608;809;0;2544;12044;483;3171;2;2499;16;45;1;6;;2615;21316;15826;665;57;124;1;648;637;395;41;;8;1;203
PERINAT;2017;560000143;560014748;TYPE2;;24;4;;;5;1428;236;241;7;0;0;0;0;5161;1177;0;0;929;4494;209;1396;1;921;4;8;0;7;;940;2174;7845;591;24;0;1;202;224;162;8;;7;0;0
PERINAT;2017;560000192;560000044;TYPE1;;16;;;;3;849;77;0;0;0;0;0;0;3116;0;0;0;667;2898;147;831;0;662;2;5;0;3;0;675;7402;1560;222;12;0;1;126;113;75;12;;2;0;0
PERINAT;2017;560000200;560023210;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1293;2225;216;0;0;1;48;36;48;0;0;0;0;0
PERINAT;2017;560002511;560000689;;;1;0;0;0;0;25;24;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;56;53;41;1;;1;0;0
PERINAT;2017;560007510;560001307;;;0;;;;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;16;15;12;0;;0;0;0
PERINAT;2017;560008799;560013989;TYPE2;;40;6;;;4;1183;98;57;0;0;0;0;0;4379;176;0;0;961;4139;192;1049;0;954;4;7;0;23;;972;;;;12;3;0;0;0;0;0;;6;0;0
PERINAT;2017;570000059;570025254;TYPE2;;18;11;7;0;3;1392;122;296;8;199;10;0;0;5070;1927;2012;0;944;3955;225;1361;10;923;4;21;0;5;0;977;12746;857;22;22;0;1;244;264;186;11;1;15;0;0
PERINAT;2017;570000083;570000729;TYPE1;;28;;;;4;1321;89;0;0;0;0;0;0;4554;0;0;0;1000;3904;194;1099;0;990;6;10;0;20;;1014;;;;9;0;1;178;245;82;8;;5;0;0
PERINAT;2017;570000117;570015099;TYPE1;;12;;;;2;484;43;0;0;0;0;0;0;1815;0;0;0;336;1593;86;511;0;334;2;2;0;3;0;338;4699;4294;329;6;0;1;71;88;60;2;;0;0;0
PERINAT;2017;570000349;570005165;TYPE2;;40;11;6;;6;3049;333;315;19;302;31;0;0;10841;2846;2034;0;2062;9059;355;2238;0;2028;18;34;0;13;;2107;12774;5299;498;96;10;1;429;479;421;14;;16;0;0
PERINAT;2017;570000364;570011569;;;1;;;;;20;19;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;79;88;53;1;;0;0;0
PERINAT;2017;570000646;570001115;TYPE2;;32;6;6;;5;2135;115;272;11;142;2;0;0;8924;1758;696;0;1767;7984;334;2135;0;1746;17;21;1;1;;1795;;;;39;0;1;126;101;89;6;;2;0;0
