BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2017;010000024;010780054;M1030;9;5;3.1;1;0;1;
PERINAT_P;2017;010000024;010780054;M1140;3;;2.42;1;0;;
PERINAT_P;2017;010000024;010780054;M2050;8;4;6.21;1;0;;
PERINAT_P;2017;010000024;010780054;MIVG;2;6;0.55;;;;
PERINAT_P;2017;010000024;010780054;N2340;8;13;16.21;;;;
PERINAT_P;2017;010000024;010780054;N2700;;2;0.69;;;;
PERINAT_P;2017;010000024;010780054;N2800;7;35;26.5;;;;
PERINAT_P;2017;010000024;010780054;N280H;7;35;26.5;;;;
PERINAT_P;2017;010000032;010780062;M1140;2;;2;;1;;
PERINAT_P;2017;010000032;010780062;M2050;2;;1.84;1;;;
PERINAT_P;2017;010000032;010780062;N2800;9;2;9.62;;;;
PERINAT_P;2017;010000032;010780062;N280H;7;2;9.62;;;;
PERINAT_P;2017;010005239;010008407;M2050;1;3;1;1;;;
PERINAT_P;2017;010005239;010008407;N2700;0;1;0.03;;;;
PERINAT_P;2017;010005239;010008407;N2800;15;3;17;;;;
PERINAT_P;2017;010005239;010008407;N280H;15;3;17;;;;
PERINAT_P;2017;010780203;010010718;M1030;4;;4;;1;;0
PERINAT_P;2017;010780203;010010718;M1140;2;;2;;1;;
PERINAT_P;2017;010780203;010010718;M2050;3;;3;;1;;
PERINAT_P;2017;010780203;010010718;N2800;10;4;11.74;;;;
PERINAT_P;2017;010780203;010010718;N280H;10;4;11.74;;;;
PERINAT_P;2017;020000162;020000063;M1140;5;2;5.5;1;;;
PERINAT_P;2017;020000162;020000063;M2050;7;3;7.9;1;;;
PERINAT_P;2017;020000162;020000063;MIVG;0;1;0.2;;;;
PERINAT_P;2017;020000162;020000063;N2340;14;6;18.73;;;;
PERINAT_P;2017;020000162;020000063;N2700;2;0;2;;;;
PERINAT_P;2017;020000162;020000063;N2800;19;7;24.4;;;;
PERINAT_P;2017;020000162;020000063;N280H;19;7;24.4;;;;
PERINAT_P;2017;020000394;020000253;M1030;0;0;0;1;0;0;0
PERINAT_P;2017;020000394;020000253;M1140;0;1;0.1;1;0;;
PERINAT_P;2017;020000394;020000253;M2050;3;3;5;1;0;;
PERINAT_P;2017;020000394;020000253;MIVG;0;1;0.7;;;;
PERINAT_P;2017;020000394;020000253;N2340;3;0;1.23;;;;
PERINAT_P;2017;020000394;020000253;N2700;0;1;0.12;;;;
PERINAT_P;2017;020000394;020000253;N2800;16;3;18.61;;;;
PERINAT_P;2017;020000394;020000253;N280H;16;3;18.61;;;;
PERINAT_P;2017;020000519;020000261;M1030;1;;1;1;0;0;0
