BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2016;020010047;020001632;TYPE1;;20;;;;4;816;83;0;0;0;0;0;0;2992;0;0;0;581;2669;168;918;0;574;2;7;3;5;;588;;;;3;0;0;0;0;0;0;1;2;0;0
PERINAT;2016;030000061;030780092;TYPE2;;23;6;;;4;1360;80;176;7;0;0;0;0;5554;1463;0;0;1070;5059;194;1230;1;1055;0;15;4;6;0;1085;10162;8031;708;14;0;1;167;198;86;19;;9;0;0
PERINAT;2016;030000079;030780100;TYPE2;;24;6;2;;3;1369;84;253;18;44;4;0;0;5012;1843;501;0;1089;4600;119;664;1;1071;0;18;13;7;;1114;1265;5466;;17;0;1;282;268;162;12;2;5;0;0
PERINAT;2016;030000087;030780118;TYPE2;;24;6;;;;1428;100;153;6;0;0;0;0;4958;1604;0;0;1094;4358;227;1141;1;1085;0;9;9;9;;1109;;;;23;0;1;275;215;127;24;;8;0;0
PERINAT;2016;030780548;030000194;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;1;3;0;0;;0;0;0
PERINAT;2016;030781116;030000426;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;13;14;0;3;;1;0;0
PERINAT;2016;040000093;040780215;TYPE1;;18;;;;2;1045;73;0;0;0;0;0;0;3943;0;0;0;772;3372;156;929;0;770;0;2;6;2;;777;3597;6087;;57;0;1;224;210;156;1;;10;0;0
PERINAT;2016;040000135;050002948;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;243;678;12;;;0;;0;;;;0;0;
PERINAT;2016;040000911;040788879;TYPE1;;10;;;;2;694;140;0;0;0;0;0;0;2288;0;0;0;386;1878;99;690;0;382;0;4;1;5;;393;;;;11;0;1;151;210;96;1;;0;0;0
PERINAT;2016;050000231;050000116;TYPE1;;9;;;;2;452;48;0;0;0;0;0;0;1692;0;0;0;336;1549;76;440;0;332;0;4;2;0;0;340;3524;2990;7;3;0;1;129;116;114;4;3;2;0;0
PERINAT;2016;050000348;050002948;TYPE2;;22;4;0;0;3;1390;90;225;9;0;0;0;0;5584;1482;0;0;1027;4770;222;1544;4;1009;1;18;3;9;0;1046;5965;3961;53;12;0;1;122;136;28;13;9;0;0;0
PERINAT;2016;060000478;060780897;TYPE2;;32;9;3;;6;2062;115;228;20;80;8;0;0;8283;1761;568;0;1734;7755;247;1538;1;1707;0;27;9;6;;1767;;;;34;0;1;418;379;263;33;;3;0;0
PERINAT;2016;060000510;060780954;TYPE2;;16;4;;;3;1347;93;189;21;0;0;0;0;4420;1407;0;0;1026;3927;170;946;0;1014;0;12;7;8;0;1041;7413;3504;373;146;0;1;192;354;150;0;5;42;0;0
PERINAT;2016;060000544;060780988;TYPE2;;28;6;;;4;1986;177;105;15;0;0;0;0;7592;991;0;0;1481;6748;306;1793;0;1471;1;10;13;9;0;1508;9660;2291;112;17;0;1;401;417;201;43;12;20;0;0
PERINAT;2016;060002102;060791761;CPPR;;0;;;;;13;9;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1092;2227;15;0;0;1;136;160;108;1;;0;0;0
PERINAT;2016;060021417;060000221;;;0;;;;;36;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;91;100;0;0;;7;0;0
PERINAT;2016;060780517;060000239;TYPE1;;21;;;;5;1241;111;0;0;0;0;0;0;4370;0;0;0;1035;4167;227;1171;0;1028;0;7;3;9;;1045;;;;62;0;1;297;277;112;3;;8;0;0
PERINAT;2016;060780590;060000270;;;;;;;;26;25;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;47;30;0;5;;0;0;0
PERINAT;2016;060780699;060000346;;;2;;;;;73;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;90;96;7;1;1;5;0;0
PERINAT;2016;060780715;060000361;TYPE1;;34;;;;6;1917;116;0;0;0;0;0;0;7022;0;0;0;1572;6385;386;1986;0;1551;0;21;11;12;;1593;;;;64;0;1;0;0;0;0;;18;1;570
PERINAT;2016;060780756;060000403;TYPE2;;53;6;;;5;2888;304;187;2;0;0;0;0;11046;823;0;0;2333;10298;692;3886;0;2291;0;42;8;17;;2378;;;;91;0;1;166;179;0;4;;17;0;0
PERINAT;2016;060781200;060000635;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;144;79;27;5;;3;0;
